VISITING	HOME	WEEK	DATE	TIME	TV
Seattle	@Washington	Week 05	MON, OCT 6	8:30 PM	ESPN
ByeOakland	ByeMiami	Week 05	NULL	NULL	NULL
Indianapolis	@Houston	Week 06	THU, OCT 9	8:25 PM	CBS
Chicago	@Atlanta	Week 06	SUN, OCT 12	1:00 PM	FOX
New England	@Buffalo	Week 06	SUN, OCT 12	1:00 PM	CBS
Carolina	@Cincinnati	Week 06	SUN, OCT 12	1:00 PM	FOX
Pittsburgh	@Cleveland	Week 06	SUN, OCT 12	1:00 PM	CBS
Jacksonville	@Tennessee	Week 06	SUN, OCT 12	1:00 PM	CBS
Green Bay	@Miami	Week 06	SUN, OCT 12	1:00 PM	FOX
Detroit	@Minnesota	Week 06	SUN, OCT 12	1:00 PM	FOX
Denver	@NY Jets	Week 06	SUN, OCT 12	1:00 PM	CBS
Baltimore	@Tampa Bay	Week 06	SUN, OCT 12	1:00 PM	CBS
San Diego	@Oakland	Week 06	SUN, OCT 12	4:05 PM	CBS
Washington	@Arizona	Week 06	SUN, OCT 12	4:25 PM	FOX
Dallas	@Seattle	Week 06	SUN, OCT 12	4:25 PM	FOX
NY Giants	@Philadelphia	Week 06	SUN, OCT 12	8:30 PM	NBC
San Francisco	@St. Louis	Week 06	MON, OCT 13	8:30 PM	ESPN
ByeKansas City	ByeNew Orleans	Week 06	NULL	NULL	NULL
NY Jets	@New England	Week 07	THU, OCT 16	8:25 PM	CBS
Minnesota	@Buffalo	Week 07	SUN, OCT 19	1:00 PM	FOX
Miami	@Chicago	Week 07	SUN, OCT 19	1:00 PM	CBS
New Orleans	@Detroit	Week 07	SUN, OCT 19	1:00 PM	FOX
Carolina	@Green Bay	Week 07	SUN, OCT 19	1:00 PM	FOX
Cincinnati	@Indianapolis	Week 07	SUN, OCT 19	1:00 PM	CBS
Seattle	@St. Louis	Week 07	SUN, OCT 19	1:00 PM	FOX
Tennessee	@Washington	Week 07	SUN, OCT 19	1:00 PM	CBS
Cleveland	@Jacksonville	Week 07	SUN, OCT 19	1:00 PM	CBS
Atlanta	@Baltimore	Week 07	SUN, OCT 19	1:00 PM	FOX
Kansas City	@San Diego	Week 07	SUN, OCT 19	4:05 PM	CBS
NY Giants	@Dallas	Week 07	SUN, OCT 19	4:25 PM	FOX
Arizona	@Oakland	Week 07	SUN, OCT 19	4:25 PM	FOX
San Francisco	@Denver	Week 07	SUN, OCT 19	8:30 PM	NBC
Houston	@Pittsburgh	Week 07	MON, OCT 20	8:30 PM	ESPN
ByePhiladelphia	ByeTampa Bay	Week 07	NULL	NULL	NULL
San Diego	@Denver	Week 08	THU, OCT 23	8:25 PM	CBS
Detroit	@Atlanta	Week 08	SUN, OCT 26	9:30 AM	FOX
Baltimore	@Cincinnati	Week 08	SUN, OCT 26	1:00 PM	CBS
Houston	@Tennessee	Week 08	SUN, OCT 26	1:00 PM	FOX
St. Louis	@Kansas City	Week 08	SUN, OCT 26	1:00 PM	FOX
Chicago	@New England	Week 08	SUN, OCT 26	1:00 PM	FOX
Buffalo	@NY Jets	Week 08	SUN, OCT 26	1:00 PM	CBS
Minnesota	@Tampa Bay	Week 08	SUN, OCT 26	1:00 PM	FOX
Seattle	@Carolina	Week 08	SUN, OCT 26	1:00 PM	CBS
Miami	@Jacksonville	Week 08	SUN, OCT 26	1:00 PM	CBS
Philadelphia	@Arizona	Week 08	SUN, OCT 26	4:05 PM	FOX
Oakland	@Cleveland	Week 08	SUN, OCT 26	4:25 PM	CBS
Indianapolis	@Pittsburgh	Week 08	SUN, OCT 26	4:25 PM	CBS
Green Bay	@New Orleans	Week 08	SUN, OCT 26	8:30 PM	NBC
Washington	@Dallas	Week 08	MON, OCT 27	8:30 PM	ESPN
ByeNY Giants	ByeSan Francisco	Week 08	NULL	NULL	NULL
New Orleans	@Carolina	Week 09	THU, OCT 30	8:25 PM	NFL
Jacksonville	@Cincinnati	Week 09	SUN, NOV 2	1:00 PM	CBS
Tampa Bay	@Cleveland	Week 09	SUN, NOV 2	1:00 PM	FOX
Arizona	@Dallas	Week 09	SUN, NOV 2	1:00 PM	FOX
NY Jets	@Kansas City	Week 09	SUN, NOV 2	1:00 PM	CBS
San Diego	@Miami	Week 09	SUN, NOV 2	1:00 PM	CBS
Washington	@Minnesota	Week 09	SUN, NOV 2	1:00 PM	FOX
Philadelphia	@Houston	Week 09	SUN, NOV 2	1:00 PM	FOX
St. Louis	@San Francisco	Week 09	SUN, NOV 2	4:05 PM	FOX
Denver	@New England	Week 09	SUN, NOV 2	4:25 PM	CBS
Oakland	@Seattle	Week 09	SUN, NOV 2	4:25 PM	CBS
Baltimore	@Pittsburgh	Week 09	SUN, NOV 2	8:30 PM	NBC
Indianapolis	@NY Giants	Week 09	MON, NOV 3	8:30 PM	ESPN
ByeAtlanta	ByeBuffalo	Week 09	NULL	NULL	NULL
ByeGreen Bay	ByeTennessee	Week 09	NULL	NULL	NULL
ByeChicago	ByeDetroit,	Week 09	NULL	NULL	NULL
Cleveland	@Cincinnati	Week 10	THU, NOV 6	8:25 PM	NFL
Kansas City	@Buffalo	Week 10	SUN, NOV 9	1:00 PM	CBS
Miami	@Detroit	Week 10	SUN, NOV 9	1:00 PM	CBS
San Francisco	@New Orleans	Week 10	SUN, NOV 9	1:00 PM	FOX
Pittsburgh	@NY Jets	Week 10	SUN, NOV 9	1:00 PM	CBS
Atlanta	@Tampa Bay	Week 10	SUN, NOV 9	1:00 PM	FOX
Dallas	@Jacksonville	Week 10	SUN, NOV 9	1:00 PM	FOX
Tennessee	@Baltimore	Week 10	SUN, NOV 9	1:00 PM	CBS
Denver	@Oakland	Week 10	SUN, NOV 9	4:05 PM	CBS
St. Louis	@Arizona	Week 10	SUN, NOV 9	4:25 PM	FOX
NY Giants	@Seattle	Week 10	SUN, NOV 9	4:25 PM	FOX
Chicago	@Green Bay	Week 10	SUN, NOV 9	8:30 PM	NBC
Carolina	@Philadelphia	Week 10	MON, NOV 10	8:30 PM	ESPN
ByeIndianapolis	ByeMinnesota	Week 10	NULL	NULL	NULL
ByeNew England	ByeSan Diego	Week 10	NULL	NULL	NULL
ByeWashington	ByeHouston	Week 10	NULL	NULL	NULL
Buffalo	@Miami	Week 11	THU, NOV 13	8:25 PM	NFL
Minnesota	@Chicago	Week 11	SUN, NOV 16	1:00 PM	FOX
Houston	@Cleveland	Week 11	SUN, NOV 16	1:00 PM	CBS
Philadelphia	@Green Bay	Week 11	SUN, NOV 16	1:00 PM	FOX
Seattle	@Kansas City	Week 11	SUN, NOV 16	1:00 PM	FOX
Denver	@St. Louis	Week 11	SUN, NOV 16	1:00 PM	CBS
Cincinnati	@New Orleans	Week 11	SUN, NOV 16	1:00 PM	CBS
San Francisco	@NY Giants	Week 11	SUN, NOV 16	1:00 PM	FOX
Tampa Bay	@Washington	Week 11	SUN, NOV 16	1:00 PM	FOX
Atlanta	@Carolina	Week 11	SUN, NOV 16	1:00 PM	FOX
Oakland	@San Diego	Week 11	SUN, NOV 16	4:05 PM	CBS
Detroit	@Arizona	Week 11	SUN, NOV 16	4:25 PM	FOX
New England	@Indianapolis	Week 11	SUN, NOV 16	8:30 PM	NBC
